Date ,Branch,Inv. No.,Item Code,Sales Qty.,State,Status,Star rating,Tonnage,Technology
28-01-2022 00:00,CHENNAI,2133017227,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
28-01-2022 00:00,CHENNAI,2133017229,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
28-01-2022 00:00,CHENNAI,2133017203,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
28-01-2022 00:00,CHENNAI,2133017204,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
28-01-2022 00:00,CHENNAI,2133017206,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
28-01-2022 00:00,CHENNAI,2133017184,RKL60UV16U,3,Tamil Nadu,Continue,3 Star,1.8,Inv
28-01-2022 00:00,CHENNAI,2133017203,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
28-01-2022 00:00,CHENNAI,2133017203,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
28-01-2022 00:00,CHENNAI,2133017205,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
28-01-2022 00:00,CHENNAI,2133017227,RKM50UV16U,4,Tamil Nadu,Continue,5 Star,1.5,Inv
28-01-2022 00:00,CHENNAI,2133017203,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
28-01-2022 00:00,CHENNAI,2133017204,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
28-01-2022 00:00,CHENNAI,2133017206,RL50UV16V3,2,Tamil Nadu,Continue,3 Star,1.5,Non Inv
28-01-2022 00:00,CHENNAI,2133017229,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
29-01-2022 00:00,CHENNAI,2133017316,RKL35UV16W,3,Tamil Nadu,Continue,3 Star,1,Inv
29-01-2022 00:00,CHENNAI,2133017318,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
29-01-2022 00:00,CHENNAI,2133017336,RKL35UV16W,10,Tamil Nadu,Continue,3 Star,1,Inv
29-01-2022 00:00,CHENNAI,2133017336,RKL50UV16V,30,Tamil Nadu,Continue,3 Star,1.5,Inv
29-01-2022 00:00,CHENNAI,2133017319,RKL60UV16U,3,Tamil Nadu,Continue,3 Star,1.8,Inv
29-01-2022 00:00,CHENNAI,2133017318,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
29-01-2022 00:00,CHENNAI,2133017336,RKM50UV16U,6,Tamil Nadu,Continue,5 Star,1.5,Inv
31-01-2022 00:00,CHENNAI,2133017473,RKL35UV16W,18,Tamil Nadu,Continue,3 Star,1,Inv
31-01-2022 00:00,CHENNAI,2133017482,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
31-01-2022 00:00,CHENNAI,2133017608,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
31-01-2022 00:00,CHENNAI,2133017473,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
31-01-2022 00:00,CHENNAI,2133017593,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
31-01-2022 00:00,CHENNAI,2133017608,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
31-01-2022 00:00,CHENNAI,2133017496,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
31-01-2022 00:00,CHENNAI,2133017521,RKL60UV16U,5,Tamil Nadu,Continue,3 Star,1.8,Inv
31-01-2022 00:00,CHENNAI,2133017522,RKL60UV16U,10,Tamil Nadu,Continue,3 Star,1.8,Inv
31-01-2022 00:00,CHENNAI,2133017589,RL35UV16W1,3,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017591,RL35UV16W1,2,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017592,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017593,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017594,RL35UV16W1,5,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017608,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
31-01-2022 00:00,CHENNAI,2133017594,RL50UV16V3,4,Tamil Nadu,Continue,3 Star,1.5,Non Inv
03-02-2022 00:00,CHENNAI,2129008489,RKL35UV16W,4,Tamil Nadu,Continue,3 Star,1,Inv
03-02-2022 00:00,CHENNAI,2129008490,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
03-02-2022 00:00,CHENNAI,2133017659,RKL35UV16W,5,Tamil Nadu,Continue,3 Star,1,Inv
03-02-2022 00:00,CHENNAI,2133017660,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
03-02-2022 00:00,CHENNAI,2133017672,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
03-02-2022 00:00,CHENNAI,2129008489,RKL50UV16V,6,Tamil Nadu,Continue,3 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017659,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017660,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017672,RKL50UV16V,1,Tamil Nadu,Continue,3 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017673,RKL50UV16V,4,Tamil Nadu,Continue,3 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017659,RKL60UV16U,3,Tamil Nadu,Continue,3 Star,1.8,Inv
03-02-2022 00:00,CHENNAI,2133017660,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
03-02-2022 00:00,CHENNAI,2133017673,RKL60UV16U,1,Tamil Nadu,Continue,3 Star,1.8,Inv
03-02-2022 00:00,CHENNAI,2133017659,RKL71UV16T,2,Tamil Nadu,Continue,3 Star,2.2,Inv
03-02-2022 00:00,CHENNAI,2133017660,RKM50UV16U,2,Tamil Nadu,Continue,5 Star,1.5,Inv
03-02-2022 00:00,CHENNAI,2133017660,RKY50UV16U3,2,Tamil Nadu,Continue,#N/A,#N/A,#N/A
03-02-2022 00:00,CHENNAI,2133017659,RL35UV16W1,4,Tamil Nadu,Continue,3 Star,1,Non Inv
03-02-2022 00:00,CHENNAI,2133017660,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
03-02-2022 00:00,CHENNAI,2133017672,RL35UV16W1,1,Tamil Nadu,Continue,3 Star,1,Non Inv
03-02-2022 00:00,CHENNAI,2133017673,RL35UV16W1,2,Tamil Nadu,Continue,3 Star,1,Non Inv
03-02-2022 00:00,CHENNAI,2133017659,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
03-02-2022 00:00,CHENNAI,2133017660,RL50UV16V3,1,Tamil Nadu,Continue,3 Star,1.5,Non Inv
03-02-2022 00:00,CHENNAI,2133017672,RL50UV16V3,1,Tamil Nadu,Continue,3 Star,1.5,Non Inv
03-02-2022 00:00,CHENNAI,2133017673,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
04-02-2022 00:00,CHENNAI,2133017741,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
04-02-2022 00:00,CHENNAI,2133017741,RKL50UV16V,5,Tamil Nadu,Continue,3 Star,1.5,Inv
04-02-2022 00:00,CHENNAI,2133017741,RKM50UV16U,3,Tamil Nadu,Continue,5 Star,1.5,Inv
04-02-2022 00:00,CHENNAI,2133017745,RL35UV16W1,2,Tamil Nadu,Continue,3 Star,1,Non Inv
04-02-2022 00:00,CHENNAI,2133017745,RL50UV16V3,3,Tamil Nadu,Continue,3 Star,1.5,Non Inv
04-02-2022 00:00,CHENNAI,2133017742,RQ60UV16U5,5,Tamil Nadu,Continue,2 Star,1.8,Inv
07-02-2022 00:00,CHENNAI,2133017827,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017828,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017829,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017830,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017831,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017832,RKL35UV16W,1,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017833,RKL35UV16W,2,Tamil Nadu,Continue,3 Star,1,Inv
07-02-2022 00:00,CHENNAI,2133017827,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017828,RKL50UV16V,4,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017829,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017830,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017831,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017832,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017833,RKL50UV16V,2,Tamil Nadu,Continue,3 Star,1.5,Inv
07-02-2022 00:00,CHENNAI,2133017827,RKL60UV16U,2,Tamil Nadu,Continue,3 Star,1.8,Inv
